name,rating,price
Belo and Bonito Flowers,5,15000
Bluemoon Fête,5,17000
Chrisel Luat Lopez,5,10000
BPRb Events Management,5,20000
Excel Event Styling,5,18000
Cherry Jane,4,12000
FT Event Styling,4,15000
Jennifer Bandasan Pacubas and Louie Pacubas,4,13000
Moon Star Event Styling,4,10000
LA Event Styling,4,19000
MIGS Styling Production,4,14000
Mr Popper,4,11000
STAN Creative Designs,4,17000
