name,rating,price
Anne Almelon Benitez,3,30000
Oliver Castillo,5,50000
Myrnas Cuisine,3,32000
Tessies Grill and Roaster,4,40000
Fortaleza Catering Services,3,35000
Rustica Restaurant San Rafael,4,45000
Teodora Restaurant Catering,4,42000
